config_name,a_ttv,p_ttv,e_ttv,count_rate,snr_level,sde,period,depth,epoch,width,num_pts_in_transit,scenario,ttv_params,success,computation_time,lightcurve_creation_time
strong_very_short,0.015,20,-10.0,268269.57952797273,268269,208.53494262695312,3.9876789457886432,-0.0003635815228335,0.9969197511672974,0.062307484447956,510,no_ttv,"(0.0, 0.0, 0.0)",True,22.16494393348694,
strong_very_short,0.015,20,-10.0,517947.4679231202,517947,203.1727752685547,3.9876789457886432,-0.0003644028911367,0.9969197511672974,0.062307484447956,510,no_ttv,"(0.0, 0.0, 0.0)",True,22.483333349227905,
strong_very_short,0.015,20,-10.0,1000000.0,1000000,207.3322296142578,3.9876789457886432,-0.0003641568182501,0.9969197511672974,0.062307484447956,510,no_ttv,"(0.0, 0.0, 0.0)",True,21.214135885238647,
very_strong_long,0.02,90,-45.0,100.0,100,4.101778507232666,44.94908868342692,-0.0028378218412399,38.49430084228516,0.093774177134037,54,correct_ettv,"(90, 0.02, -45.0)",True,58.35999369621277,0.0118398666381835
very_strong_long,0.02,90,-45.0,193.06977288832496,193,4.960162162780762,41.50100304562017,-0.0016321598086506,14.406598091125488,0.1250030249357223,90,correct_ettv,"(90, 0.02, -45.0)",True,59.59274458885193,0.0138061046600341
very_strong_long,0.02,90,-45.0,372.7593720314938,372,4.896986961364746,2.2286551108301804,-0.0002698792668525,0.1726423054933548,0.1569475382566452,1848,correct_ettv,"(90, 0.02, -45.0)",True,61.25903058052063,0.0113828182220458
very_strong_long,0.02,90,-45.0,719.6856730011522,719,4.848912239074707,3.9893825618212495,-0.0003650479484349,0.9661785960197448,0.0623341016471385,511,correct_ettv,"(90, 0.02, -45.0)",True,60.93557262420654,0.0082898139953613
very_strong_long,0.02,90,-45.0,1389.4954943731375,1389,18.889965057373047,3.987720223393577,-0.0004227880272082,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,90.92618346214294,0.0125818252563476
very_strong_long,0.02,90,-45.0,2682.6957952797247,2682,24.422273635864254,3.987720223393577,-0.0003740596876014,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,88.14481544494629,0.0373063087463378
very_strong_long,0.02,90,-45.0,5179.474679231213,5179,43.925926208496094,3.987720223393577,-0.0003547343658283,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,85.08384346961975,0.0288319587707519
very_strong_long,0.02,90,-45.0,10000.0,10000,93.3331298828125,3.987720223393577,-0.000378108874429,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,86.6341438293457,0.0177431106567382
